IMO Number;Type of Vessel;Gross Tonnage;Year of Built;Flag;Port of Registry;INTLREG Class ID;Owner;Representatives;Call Sign;Classification;Areas in which ship is certified;Ship Builders;Place of Built;Hull Material;Net Tonnage;Deadweight;Length (m);Depth (m);Draft (m);Passengers No.;Engine Type/ No of Engines;Number of Shaft
NA;Deck Loading Barge, Non-Propelled;927;JAN 2000;St Kitts & Nevis;Basseterre;05NND001;Blue Ocean Marine Limited;05NND001;N/A;IS;A1+A2;MOODY FABRICATION & MACHINE INC.;USA;Steel;278;10.000;58.520;3.660;2.860;0;  /  0;0
NA;Passenger RO-RO Ferry;2921;OCT 2021;Uganda;Port Bell;21OPP001;Grindrod Logistics Africa;21OPP001;;None Or Unclassed;A1;;Uganda;Steel;0;;96.000;4.600;;0;  /  0;0
9465497;Bulk Carrier;2956;APR 2007;Palau;Malakal Harbor;23UDG005;Usta Shipping Co.;23UDG005;T8A4180;IS;A1+A2+A3;QIYANG BAISHUI SHIPBUILDING CO., LTD.;CHINA;Steel;1872;5834.247;99.560;7.700;6.000;0;--  /  1;1
8921676;General Cargo Ship;5144;JAN 1990;Palau;Malakal Harbor;10IGG011;FAHEL BROTHERS SHIPPING LTD - MONROVIA;10IGG011;T8ZD;IS;A1+A2+A3;HAKATA SHIPBUILDING CO. LTD;Imabari, Ehime, Japan;Steel;2990;8238.730;110.000;10.500;8.160;0;2 stroke  /  1;1
8024856;General Cargo Ship;2198;JAN 1980;Palau;Malakal Harbor;20NDG004;AMIR A MARITIME CO. LTD.;20NDG004;T8A3544;IS;A1+A2;FENER TERSANESI;ISTANBUL;Steel;1409;3789.000;90.270;7.900;6.380;0;2 stroke  /  1;1
9238301;Crew Boat;257;SEP 2000;Nigeria;Lagos ;23SDJ001;Oceansafe Limited;23SDJ001;5NBAL;None Or Unclassed;A1+A2;GULFCRAFT INC.;U.S.A;Aluminium Alloy;77;0.000;44.300;3.600;1.680;0;4 stroke  /  3;0
NA;Fishing Vessel;191.66;JAN 1967;Senegal;Port of Dakar;21UFF020;ARMEMENT CARTON;21UFF020;;Others;;;;Steel;0;;30.710;3.030;;0;  /  0;0
8120038;Anchor handling tug supply;838;JAN 1982;Nigeria;Lagos ;20IEH018;LENIMAR OCEAN TRAWLERS LTD.;20IEH018;5NIZ4;;A1+A2+A3;Hudson Shipbuilders Incorporated;Pascagoula,U.S.A;Steel;251;;56.780;4.570;;0;4 stroke  /  2;2
9164079;Tug;447;OCT 1996;Palau;Malakal Harbor;23OYY001;Safeen Marine 13 Limited;23OYY001;T8A3959;None Or Unclassed;A1+A2;;;;134;380.000;34.900;5.000;4.010;0;  /  0;0
8411047;Anchor handling tug supply;1558;JAN 1985;St Kitts & Nevis;Basseterre;18NEH022;Algarhoud General Trading LLC;18NEH022;V4TP3;IS;A1+A2+A3;Ulstein Hatlo AS - Ulsteinvik;Norway;Steel;467;2100.000;59.490;7.400;6.370;0;4 stroke  /  2;2
7340629;Dredger Hopper;1915;JAN 1973;Bahrain;Bahrain;20ODH003;Al-Namal Contracting & Trading Co WLL;20ODH003;A9D3137;None Or Unclassed;A1+A2;Appledore Shipbuilders Ltd;UK;;574;;;;;0;  /  0;0
NA;Crew Utility/Supply Vessel;39.21;JAN 2012;St Kitts & Nevis;Basseterre;10OEB001;SINGAPORT SHIPPING PTE LTD;10OEB001;V4AH3;None Or Unclassed;A1;;;;0;;;;;0;  /  0;1
9114543;Bulk Carrier;17429;JUL 1995;Palau;Malakal Harbor;23IBA006;Highlands Ventures Co;23IBA006;T8A3884;NK;A1+A2+A3;;;;9829;28458.000;170.000;13.800;9.750;0;  /  0;1
9302011;Chemical/Oil Products Tanker;1207;JAN 2005;St Kitts & Nevis;Basseterre;20ITN255;PANTANETTA CORPORATION;20ITN255;V4JE4;BV;A1+A2;SELAH SHIPYARD;TURKEY;Steel;506;1773.000;73.000;5.100;4.160;0;4 stroke  /  1;1
7518977;Tug/Supply Vessel;1473;JAN 1978;Panama;Panama;18NYT005;Offshore Marine Supply Services Inc-(Panama);18NYT005;HP5251;IS;A1+A2+A3;Belliard Murdoch Oostende;Belgium;Steel;442;2646.000;66.750;6.540;5.670;0;2 stroke  /  3;2
9393058;Crew Boat;320;MAY 2006;Nigeria;Lagos ;23SDJ002;NEMERA OIL AND GAS LIMITED;23SDJ002;5OZA;ABS;A1+A2;C & G BOATS WORKS INC;U.S.A;Aluminium Alloy;96;449.000;47.240;4.260;2.930;65;4 stroke  /  4;4
9392729;Bulk Carrier;30722;JAN 2008;Panama;;08IBB019;;08IBB019;3FCG7;BV;;;;;0;;;;;0;  /  0;0
NA;Fishing Vessel;69.46;JAN 2016;Senegal;Port of Dakar;21UFF015;ARMEMENT ADJA NDOUMBE;21UFF015;;None Or Unclassed;A1;;;Steel;0;;16.000;2.800;;0;  /  0;0
9197179;General Cargo Ship;7816;FEB 1999;Palau;Malakal Harbor;23IDG009;MK European Company SA;23IDG009;T8A4234;KR;A1+A2+A3;;;Steel;3670;11478.000;100.850;13.800;9.250;0;  /  0;0
7118404;General Cargo Ship;4490;JAN 1972;St Kitts & Nevis;Basseterre;10CGG051;Pacific Naval Register Of London Ltd;10CGG051;V4CH2;IS;A1+A2+A3;UNITED SHIPYARD AND DOCKYARD SA. PIRAEUS;GREECE;Steel;1666;1100.000;103.710;5.500;4.440;0;4 stroke  /  1;2
NA;Fishing Vessel;74.93;JAN 1988;Senegal;Port of Dakar;22UFF012;SOPASEN;22UFF012;;Others;A1+A2;;;Steel;0;;22.450;3.350;;0;  /  0;0
9119103;General Cargo Ship;4735;FEB 1995;Palau;Malakal Harbor;23UDG002;Alphamoon Shipping Management SA;23UDG002;T8A2799;IBS;A1+A2+A3;;Onomichi, Hiroshima, Japan;Steel;2452;;84.900;11.600;7.800;0;  /  0;0
9563081;Tug;273;SEP 2009;Palau;Malakal Harbor;22OYY008;Alphard Maritime Pvt. Ltd.;22OYY008;T8A4040;IRS;A1+A2+A3;;;Steel;82;266.000;29.000;4.200;3.600;0;  /  0;0
9016911;Chemical/Oil Products Tanker;5677;JAN 1994;Panama;Panama;19OTN060;Aegean Marine Shipping Inc;19OTN060;3FOF7;Others;A1+A2+A3;Boelwerf Vlaanderen N.V.;Belgium;;2678;;105.620;;;0;  /  0;1
NA;Barge/Pontoon;25;FEB 2022;Bahrain;Bahrain;22UNB002;PORT & OFFSHORE SERVICES;22UNB002;--;IS;;;Bahrain;Steel;0;;14.000;1.500;;0;  /  0;0
8512619;General Cargo Ship;5954;JAN 1986;Palau;Malakal Harbor;21NDG001;AFRICAN A MARINE LTD - Monrovia;21NDG001;T8A3572;IS;A1+A2+A3;HYUNDAI HEAVY IND.;Korea;Steel;2998;10092.050;115.200;10.500;6.900;0;2 stroke  /  1;1
9134804;General Cargo Ship;13781;OCT 1997;Palau;Malakal Harbor;19IGG200;AFRICAN ROSE MARITIME LTD;19IGG200;T8A3260;RINA;A1+A2+A3;WUHU SHIPYARD;CHINA;Steel;6486;20101.000;140.220;13.500;9.750;0;4 stroke  /  1;1
NA;Crew Boat;64;JAN 1991;Nigeria;Lagos ;12NOE063;Selzas Integrated Services Limited;12NOE063;5NSW;IS;A1;YOKOHAMA YACHT CO.LTD;JAPAN;Aluminium Alloy;19;;22.690;2.500;1.700;0;4 stroke  /  2;2
NA;Barge/Pontoon;30;APR 2021;Bahrain;Bahrain;21ONB008;AL HASSANAIN BSC CLOSED;21ONB008;--;None Or Unclassed;;AL HASSANAIN BSC;Bahrain;Steel;9;;11.460;1.330;0.660;0;  /  0;0
NA;Barge/Pontoon;12;OCT 2021;Bahrain;Bahrain;21UNB003;AL HASSANAIN BSC CLOSED;21UNB003;--;IS;;AL HASSANAIN B.S.C. ;BAHRAIN;Steel;4;;19.500;1.160;0.690;0;  /  0;0
NA;Barge/Pontoon;649;MAR 2006;Bahrain;Bahrain;22INB002;AL HASSANAIN BSC CLOSED;22INB002;--;DNV;;P.T. ASL Shipyard ;Indonesia;Steel;195;;48.080;3.200;;0;  /  0;0
9124574;Container Ship;4628;JAN 1995;Panama;Panama;10ICC037;BUOYANT SHIPPING INC;10ICC037;3EUP8;GL;A1+A2+A3;PEENE-WERFT GmbH ;WOLGAST, GERMANY;Steel;2447;;113.290;;;0;  /  0;0
8906846;Bulk Carrier;23274;APR 1990;St Kitts & Nevis;Basseterre;19NBB019;ZHINENG DAOHANG SA;19NBB019;V4WE3;IS;A1+A2+A3;OSHIMA SHIP BUILDING CO LTD;JAPAN;Steel;13807;42025.000;180.000;15.800;11.210;0;2 stroke  /  1;1
9217785;General Cargo Ship;4205;FEB 2000;St Kitts & Nevis;Basseterre;23UDG001;AJ Group Shipping S.A.;23UDG001;V4ZH4;KCS;A1+A2+A3;;;;2519;6397.000;98.410;9.200;6.530;0;  /  0;2
7117826;General Cargo Ship;4255;APR 1972;St Kitts & Nevis;Basseterre;23UBA002;AK Brave Shipping SA;23UBA002;V4LN5;IS;A1+A2;Vuijk & Zonen's Scheepswerven B.V;Netherlands / Portugal;Steel;2227;6341.000;95.050;9.230;7.590;0;4 stroke  /  1;1
9218208;Dry Cargo;5381;JAN 2000;Panama;Panama;12IZY005;Alpha Management Company S.A;12IZY005;3FTD;NK;A1+A2+A3;Muetzelfeldtwerft Gmbh;Cuxhaven, Germany;Steel;0;;103.100;9.000;;0;  /  0;1
9176474;General Cargo Ship;4737;SEP 1998;Palau;Malakal Harbor;23IDG020;BR Glory Shipping Ltd;23IDG020;T8A4481;RINA;A1+A2+A3;;;;2905;7853.000;93.000;8.900;7.230;0;  /  0;1
NA;Barge/Pontoon;1492;JAN 2007;Palau;Malakal Harbor;19NNO505;Alpha Logistics Services (EPZ) Limited;19NNO505;T8A3355;IS;;YIZHENG XINYANG SHIPBUILDING CO LTD;GHINA;Steel;447;;67.300;4.270;;0;  /  0;0
7945247;Split Barge;1007;JAN 1976;Lebanon;Port of Beirut;10NNS044;NORTH & SOUTH DREDGING AND MARINE CONTRACTING;10NNS044;ODUM;IS;A1;Hilgers Ag;HILGERS A.G., Germany;Steel;302;;63.470;5.000;2.500;0;4 stroke  /  2;0
8899615;Split Barge;1007;JAN 1975;Lebanon;Port of Beirut;10NNS045;NORTH & SOUTH DREDGING AND MARINE CONTRACTING;10NNS045;ODUL;IS;A1+A2+A3;Hilgers Ag;Germany;Steel;302;1300.000;63.470;5.000;2.500;0;4 stroke  /  2;2
NA;Dredge Barge;274;JAN 1953;St Kitts & Nevis;Basseterre;23UNE001;Somagec Djibouti FZE;23UNE001;V4GG5;None Or Unclassed;A1;;;;82;;45.000;3.000;;0;  /  0;0
NA;Dredge Barge;84;JAN 2008;St Kitts & Nevis;Basseterre;23UNE002;Somagec Djibouti FZE;23UNE002;V4GH5;None Or Unclassed;A1;;;;25;;25.000;3.200;2.000;0;  /  0;0
7404059;Supply Boat/Vessel;679;JAN 1974;Bahrain;Bahrain;19IYI408;AL JAZEERA SHIPPING CO WLL;19IYI408;A9D2631;DNV GL;;Halter Marine Services;USA;;203;;;;;0;  /  0;0
9163594;General Cargo Ship;2599;FEB 1998;Togo;Lome;20SGG163;AL HUSSEIN INC.;20SGG163;5VHH8;IS;A1+A2;Tille Scheepsbouw Kootstertille B.V. - Kootstertille ;Netherlands;Steel;1226;3549.000;92.750;6.180;4.920;0;4 stroke  /  1;1
9245548;Tug;448;JUN 2001;St Kitts & Nevis;Basseterre;23SYY006;SHAMS ALHAYA TRADING LLC;23SYY006;V4EP5;None Or Unclassed;A1+A2;BHARATI SHIPYARD LTD.;INDIA;Steel;134;291.000;31.650;5.500;4.500;0;  /  0;0
NA;Landing Craft;482;JAN 2007;Oman;Sultan Qaboos;18NOL067;Island Bridge Trading & Transport Cont.;18NOL067;;IS;A1;;;;145;;53.900;2.490;1.660;0;  /  0;0
9222649;Oil Tanker;28553;JAN 2001;Panama;Panama;20IOH281;Al Safa Marine Inc.;20IOH281;3E3958;DNV GL;A1+A2+A3;Onomichi Dockyard Co Ltd - Onomichi HS;JAPAN;;12369;47087.000;173.130;19.100;;0;  /  0;0
NA;Landing Craft;284;JAN 1970;Oman;Sultan Qaboos;14OOL021;AL MAJALI INTERNATIONAL S.A.O.C;14OOL021;A4DN7;Others;A1;;ENGLAND;Steel;85;;37.500;2.400;1.660;0;4 stroke  /  2;2
NA;Landing Craft;170;MAY 1981;Oman;Sultan Qaboos;19OOL472;AL MAJALI INTERNATIONAL S.A.O.C;19OOL472;A4DJ4;None Or Unclassed;OMAN TERRITORIA;ASIA PACIFIC SHIPYARD  PTE. LIMITED  ;SINGAPORE;Steel;51;;31.000;2.200;1.450;0;4 stroke  /  2;2
8998007;Supply Boat/Vessel;392;JAN 1978;Nigeria;Lagos ;10NYI052;ASSOCIATED GAS & OIL COMPANY LIMITED;10NYI052;5NUE;IS;A1;BAYOU LABATRE;U.S.A;Steel;176;;30.480;3.510;;0;4 stroke  /  2;2
9179555;General Cargo Ship;9068;DEC 1997;Panama;Panama;23NDG002;UGC Shipping Corp;23NDG002;3E4935;IS;A1+A2+A3;China Changjiang Shipping Group, Qingshan Shipyard;Wuhan, China;Steel;4186;11174.000;131.450;11.200;8.690;0;4 stroke  /  1;1
9111644;Crude Oil Tanker;57456;NOV 1996;Panama;Panama;21SOA003;Alba Sun Tankers Corp;21SOA003;3FDP3;Others;A1+A2+A3;;;;28190;99448.000;253.300;19.200;12.820;0;  /  0;0
7325344;Crew Utility/Supply Boat/Utility Vessel;217;OCT 1973;Panama;Panama;21STC001;Flagship Marine Management Ltd;21STC001;HO4183;None Or Unclassed;A1;Scheepswerf Veerwartis;Holland;Steel;65.1;387.000;32.720;4.000;3.890;0;2 stroke  /  1;1
9444821;Product Tanker;2962;JUN 2008;Palau;Malakal Harbor;23IOP001;Albi Shipping Inc;23IOP001;T8A3974;BV;A1+A2+A3;TAIZHOU ZHONGXING SHIPYARD   ;CHINA;;1425;4569.000;98.950;7.400;5.700;0;2 stroke  /  1;1
7827330;Chemical Tanker;1755;JAN 1981;Kenya;Mombasa;13NTC116;ALFOSS ENERGY LTD;13NTC116;5ZZJ;IS;A1;Meltem Beykoz Tersanesi;Istanbul , Turkey;Steel;527;2639.000;79.140;6.000;4.740;0;4 stroke  /  1;1
8009076;Livestock Carrier;12072;JAN 1985;Panama;Panama;13IOM001;Faros Shipping Company Sarl;13IOM001;3FTO8;RINA;A1+A2+A3;;;;0;;;;;0;  /  0;2
7943287;General Cargo Ship;2478;OCT 1981;Panama;Panama;20SGG235;Marlin Denizcilik Teknik Danismanlik Hizmetleri Limited Sirketi;20SGG235;3EFT2;IS;A1+A2;JSC Rybinsk Shipyard;Russia;Steel;1075;3353.000;107.500;5.500;3.810;0;4 stroke  /  2;2
7927879;Tug;188;JAN 1982;Panama;Panama;13NWT002;Caribean & Pacific Tugs S.A.;13NWT002;HP5245;IS;A1+A2;Astillero Cartagena S.A;Cartagena, Colombia;Steel;150;50.000;22.880;4.330;3.350;5;4 stroke  /  2;2
9221803;Chemical/Oil Products Tanker;6519;JAN 2001;Panama;Panama;13ITN003;Ah International Shipping Agent;13ITN003;HPIE;LR;A1+A2+A3;;Tuzla, Turkey;;0;;;;;0;  /  0;1
8107000;General Cargo Ship;7788;MAR 1982;St Kitts & Nevis;Basseterre;21SDG003;Ali Denizcilik Ve Ticaret Ltd Sti;21SDG003;V4LF4;Others;A1+A2;Scheepswerf de Haan & Oerlemans - Heusden;The Netherlands;Steel;4025;11990.000;137.600;10.700;8.610;0;4 stroke  /  1;1
8927979;General Cargo Ship;5222;JAN 1993;Palau;Malakal Harbor;20SGG025;RESOURCED ENTERPRISES LIMITED;20SGG025;;SRU;;;;;2893;;;;;0;  /  0;1
9148013;General Cargo Ship;1490;JAN 1996;Palau;Malakal Harbor;23UDG011;Alliance No 2 Shipping Ltd;23UDG011;T8A4488;IS;A1+A2+A3;KANAWA DOCKYARD CO., LTD;HIROSHIMA, JAPAN;Steel;825;3623.800;75.250;7.100;5.700;0;Other  /  1;1
NA;Passenger;13.8;OCT 2020;Bahrain;Bahrain;22ODJ001;DELMA MARINE;22ODJ001;A9D3556;None Or Unclassed;;H Al Dhaen Boats;;Reinforced Plastic;0;;16.000;;;0;  /  0;0
7529536;Fishing Vessel;453;FEB 1977;Senegal;;21IFF005;HISEPEC;21IFF005;6WBO;BV;A1;;;;184;300.000;38.920;4.140;4.130;0;  /  0;0
9419084;General Cargo Ship;6619;JAN 2007;St Kitts & Nevis;Basseterre;23IDG011;Aston Shiptrade Corp;23IDG011;V4DM5;PRS;A1+A2+A3;Yueqing Jinchuan Shippbuilding Co Ltd;China;Steel;3901;10407.000;120.380;9.700;7.460;0;4 stroke  /  1;1
NA;Barge/Pontoon;1481;JAN 2004;Palau;Malakal Harbor;18INO033;Alpha Logistics Services (EPZ) Limited;18INO033;;BV;;Yangzhou Oceanus Shipbuilding Corp. Ltd.;CHINA;Steel;445;3156.000;71.000;4.260;;0;  /  0;0
9512953;Tug/Supply Vessel;499;JAN 2008;Palau;Malakal Harbor;19NYT506;Alpha Logistics Services (EPZ) Limited;19NYT506;9V7439;IS;A1+A2+A3;Guangzhou Panyu Lingshan Shipyard Ltd;;Steel;149;554.000;40.000;4.600;3.800;0;  /  0;0
9468279;Tug;472;JAN 2008;Palau;;14OWT010;Alpha Logistics Services (EPZ) Limited;14OWT010;T8A2551;BV;A1+A2;Wuhu Dajiang Shipbuilding Co Ltd;Wuhu, Anhui, China;;0;;;;;0;  /  0;2
9812389;Supply Boat/Vessel;194;MAR 2016;Palau;Malakal Harbor;16NYI003;Alpha Logistics Services (EPZ) Limited;16NYI003;T8A2306;IS;A1;Southern Engineering Co Ltd;Mombasa, Kenya;Steel;60;190.000;31.780;2.550;2.000;0;4 stroke  /  2;2
9563897;Oil Tanker;1274;JAN 2009;Palau;Malakal Harbor;06CTY013;ALPHA LOGISTICS TZ LTD;06CTY013;T8A2185;IS;A1+A2+A3;Southern Engineering Co Ltd;Mombasa,  Kenya;Steel;670;2280.000;64.800;4.000;3.000;0;4 stroke  /  2;2
NA;Tug;39;FEB 1998;Tanzania;Zanzibar;19NWT013;Alpha Logistics Services (EPZ) Limited;19NWT013;5IM 563;IS;A1;DELTA SHIPYARDS ;NETHERLANDS;Steel;11;;16.570;2.400;;0;Other  /  1;1
9519250;Tug;274;JAN 2009;Panama;Panama;17IWT001;;17IWT001;HP8793;BV;;;;;0;;;;;0;  /  0;0
7508790;Tug;318;JAN 1976;Palau;Malakal Harbor;05NWT012;ALPHA LOGISTICS TZ LTD;05NWT012;T8A2147;IS;A1+A2;K Damen Bv, Scheepswerf;Hardinxveld-Giessen dam, Netherlands;Steel;95;203.000;34.020;4.600;4.200;0;4 stroke  /  2;2
NA;Hopper Barge;515;JAN 1973;Palau;Malakal Harbor;11NNH062;Alpha Logistics Services (EPZ) Limited;11NNH062;T8A3546;IS;;STOCNIA RZECNA;POLAND;Steel;174;;55.700;3.350;2.510;0;  /  0;0
9563031;Landing Craft;802;JAN 2009;Palau;Malakal Harbor;11IOL063;RED WATER INTERNATIONAL;11IOL063;T8A2164;ABS;A1+A2+A3;Pt. Steadfast Marine;Pontianak, Indonesia;Steel;240;;51.400;3.650;;0;  /  2;2
NA;Barge/Pontoon;330;JAN 2011;Kenya;Mombasa;11NNO069;Southern Engineering Co. Ltd;11NNO069;N/A;IS;A1;SOUTHERN ENGINEERING;MOMBASA, KENYA;Steel;99;;35.000;2.000;;0;  /  0;0
NA;Modular Jack Up Barge;52;JAN 2018;Kenya;Mombasa;18OJJ047;ALPHA PORTS & HARBOURS LTD;18OJJ047;;None Or Unclassed;;VAN THEK PILING DRILLING & EQUIPMENT;NETHERLANDS;Steel;16;;24.580;2.440;;0;  /  0;1
9720263;Bulk Carrier;24198;AUG 2015;Panama;Panama;22IBA012;Amasia Ship Management Ltd;22IBA012;3E2662;BV;A1+A2+A3;NANJING DONGZE SHIPYARD Co., Ltd.;China;Steel;12860;37171.000;180.000;14.700;10.650;0;2 stroke  /  1;1
9715270;Bulk Carrier;24198;JAN 2015;Panama;Panama;22IBA010;Amasia Ship Management Ltd;22IBA010;3E2660;IS;A1+A2+A3;NANJING DONGZE SHIPYARD CO., LTD.;CHINA;Steel;12860;37349.000;180.000;14.700;10.650;0;2 stroke  /  1;1
NA;Work/Repair Vessel;35;JAN 1967;St Kitts & Nevis;Basseterre;21OYZ001;Sinbad Shipping PTE LTD;21OYZ001;V4PA4;Others;A1;;Sweden;;10;;21.610;2.450;;0;  /  0;1
9043134;General Cargo Ship;6371;DEC 1997;Palau;Malakal Harbor;19IGG242;ALFAISALIAH MARITIME SHIPPING INC.;19IGG242;T8A3282;IS;A1+A2+A3;Vard Tulcea SA;TULCEA ROMANIA;Steel;3206;8358.500;130.860;10.260;8.100;0;2 stroke  /  1;1
9418767;Offshore Tug/Supply Vessel;2310;JUL 2009;Nigeria;Lagos ;19IEO432;White Dove Shipping Co.Ltd;19IEO432;5ORF;ABS;A1+A2+A3;PT Batamec;Indonesia;Steel;693;2370.000;67.000;7.000;6.000;0;4 stroke  /  2;2
NA;Fishing Vessel;17.8;JAN 2012;Senegal;Port of Dakar;21UFF014;CHRISTIANE ARMEMENT;21UFF014;;None Or Unclassed;;;;Composite;0;;15.800;1.950;;0;  /  0;0
9216157;Tug;120;JAN 1999;St Kitts & Nevis;Basseterre;15IWT001;K.G.C. Company Limited;15IWT001;V4V1;DNV GL;A1;;Sibu, Malaysia;;0;;;;;0;  /  0;2
NA;Crew Utility/Supply Boat/Utility Vessel;26;JAN 2016;Palau;Malakal Harbor;13OYD004;Amazone Petroleum;13OYD004;T8A2439;None Or Unclassed;A1;;;;0;;;;;0;  /  0;1
9548770;Anchor handling tug supply;275;NOV 2008;Palau;Malakal Harbor;23IYY007;Safeen Marine 13 Limited;23IYY007;T8A4155;IRS;A1+A2+A3;;;;83;290.000;27.140;4.200;3.610;0;  /  0;0
9015797;General Cargo Ship;5484;MAR 1991;Sao Tome & Principe;Sao Tome Island;23IDG004;ALFA FAST MARINE SERVICE CO.;23IDG004;S9A5;BV;A1+A2+A3;HAKATA SHIP BUILDING;JAPAN;Steel;2135;6950.000;97.950;13.010;7.490;0;4 stroke  /  1;1
8127397;Anchor handling tug supply;744;JAN 1982;Nigeria;Lagos ;12IEH065;Apreala Marine Services Nigeria Ltd;12IEH065;5NUH2;IS;;HALTER MARINE INC.;USA;Steel;223;947.000;58.670;4.570;3.900;0;2 stroke  /  2;2
8534667;Landing Craft;1401;JAN 2014;Panama;Panama;19NDT001;LAMU SHIPPING LIMITED;19NDT001;HP6372;IS;A1;GOLDEN ALLRICH SDN BHD;MALAYSIA;Steel;420;1727.000;71.730;3.650;2.740;0;4 stroke  /  2;2
9058684;Oil Tanker;6385;OCT 1992;Palau;Malakal Harbor;08NTY001;Gold Advance Corp;08NTY001;T8A2422;IS;A1+A2;KURINOURA DOCKYARD CO LTD;JAPAN;Steel;3336;10837.300;124.000;10.700;8.540;0;4 stroke  /  1;1
9080871;Tug;220;JAN 1993;Palau;Malakal Harbor;23SYY001;Safeen Marine 13 Limited;23SYY001;T8A4307;Others;;;;;66;18.000;29.000;4.110;;0;  /  0;0
NA;Pilot Vessel;30.89;SEP 2019;Ecuador;Port of Guayaquil;23ODP001;Dlen SA;23ODP001;;None Or Unclassed;A1;;;Aluminium Alloy;0;;12.600;1.900;;0;  /  0;0
NA;Pilot Vessel;30.89;SEP 2019;Ecuador;Port of Guayaquil;23ODP002;SERVAMAIN   S.A;23ODP002;;None Or Unclassed;A1;;;;0;;12.600;1.900;;0;  /  0;0
9200964;Oil Tanker;58243;APR 2000;Panama;Panama;19IOH002;Anastasia Tanker Corporation;19IOH002;3FTF8;BV;A1+A2+A3;SAMSUNG HEAVY INDUSTRIES CO;SOUTH KOREA;Steel;30994;105278.000;234.880;21.300;14.750;0;2 stroke  /  1;1
7431129;General Cargo Ship;1313;NOV 1976;St. Vincent;Kingstown, St Vincent;19OGG412;ATLANTIC STAR LIMITED;19OGG412;J8PE6;None Or Unclassed;A1+A2+A3;FREDERIKSHAVN VAERFT, A/S, FREDERIKSHAVN;DENMARK;Steel;784;2084.000;76.600;6.500;4.640;0;2 stroke  /  1;1
9191553;Chemical/Oil Products Tanker;9549;FEB 2000;Panama;Panama;20ITN042;POSEIDON SHIPPING LIMITED;20ITN042;3EIS2;LR;A1+A2+A3;Shin Kurushima Dockyard Co.;JAPAN;Steel;4515;16020.000;138.620;12.100;9.070;0;Other  /  1;0
9374399;Oil Tanker;2261;JAN 2005;Ecuador;Port of Manta;04NOH001;Marzam Corp.;04NOH001;HC4727;IS;A1+A2+A3;Zhejiang Yueqing Qiligang Ship Industry;Yueqing, Zhejiang, China;Steel;1176;3832.000;88.100;6.500;5.700;0;4 stroke  /  1;1
9409998;Oil Tanker;2306;JAN 2006;Ecuador;Port of Manta;04NTY002;Marzam Corp.;04NTY002;HC4797;IS;A1+A2+A3;Zhejiang Jiantiao Shipyard Co Ltd;Sanmen County, Zhejiang, China;Steel;1323;4136.500;96.000;6.900;5.600;0;4 stroke  /  1;1
9121699;Oil Tanker;6534;JUN 1996;Palau;Malakal Harbor;22IOC002;Oriental Ocean Shipping Inc.;22IOC002;T8A3872;DNV;A1+A2+A3;Havyard Ship Technology As , Leirvik i Sogn;Norway;Steel;3481;10877.000;129.220;10.400;8.100;0;2 stroke  /  1;1
9159189;Bulk Carrier;36137;JAN 1997;St Kitts & Nevis;Basseterre;23IBA025;LAST VOYAGE DMCC (BEST OASIS LIMITED);23IBA025;V4IM5;RINA;A1+A2+A3;Koyo Dockyard  Co Ltd;MIHARA CITY,HIROSHIMA;Steel;23412;64975.900;224.980;18.300;13.280;0;Other  /  1;1
9136890;Refrigerated Cargo Ship;3767;MAR 1996;Panama;Panama;22IDR001;Marine Reefer Transport LLC;22IDR001;3FVD;RINA;A1+A2+A3;;;;1568;4258.000;100.720;9.900;6.620;0;  /  0;1
8721507;General Cargo Ship;2996;MAR 1988;Panama;Panama;19SGG347;MS DENIZCILIK VE GEMI KIRALAMA DIS TIC LTD STI;19SGG347;3FOG9;NSA;A1+A2;Komarno;Czechoslovakia;Steel;996;3332.000;111.200;6.000;4.130;0;4 stroke  /  2;2
9256406;Container Ship;16145;JUN 2003;Palau;Malakal Harbor;23IDK002;Zulu Shipping LLC;23IDK002;T8A4295;IS;A1+A2+A3;Guangzhou Wenchong Shipyard Co. Ltd.;Guangzhou, China;Steel;8857;20170.000;172.160;14.200;10.800;0;2 stroke  /  1;1
8682725;Tug;113;FEB 1980;Colombia;Cartagena;19NWT218;SERVICIOS PORTUARIOS SAS (SERPORT SAS);19NWT218;HKET2;IS;A1;GULF COAST - UNITED STATES;USA;Steel;75;;26.300;2.900;2.300;0;2 stroke  /  2;1
9365415;General Cargo Ship;3043;JAN 2005;Guinea-Bissau;Port of Bissau;21UDG001;Sima Shipping Ltd;21UDG001;J5AD7;Others;A1+A2+A3;;;;1940;;;;;0;  /  0;1
9248825;Crude Oil Tanker;81270;JUN 2003;Panama;Panama;23IOA011;Gama Link Tech Services Co;23IOA011;3E3857;DNV;;;;;52045;159385.000;274.200;23.100;17.100;0;  /  0;0
NA;Pleasure Yacht;146;JAN 2011;Palau;Malakal Harbor;12OXY001;Alexander Kudryashov/Valery Babak;12OXY001;T8A2290;None Or Unclassed;;;Rostov-on-Don, Russia;Steel;43;;;3.000;1.900;9;4 stroke  /  2;0
9346196;General Cargo Ship;4095;DEC 2005;Palau;Malakal Harbor;23ODG002;LAHAY SHIPPING COMPANY;23ODG002;T8A4227;IS;A1+A2+A3;VINASHIN PHARUNG SHIPYARD;VIETNAM;Steel;2448;6539.700;102.790;8.800;6.960;0;  /  0;0
