IMO Number;Type of Vessel;Gross Tonnage;Year of Built;Flag;Port of Registry;INTLREG Class ID;Owner;Representatives;Call Sign;Classification;Areas in which ship is certified;Ship Builders;Place of Built;Hull Material;Net Tonnage;Deadweight;Length (m);Depth (m);Draft (m);Passengers No.;Engine Type/ No of Engines;Number of Shaft
8206894;Anchor handling tug supply;714;SEP 1982;Palau;Malakal Harbor;23NYA001;EL Zafrana Marine Services;23NYA001;T8A4332;IS;A1+A2;QUALITY SHIPYARDS INC;NEW ORLEANS;Steel;214;1200.000;54.860;4.260;3.650;0;2 stroke  /  2;2
6500052;Fishing Vessel;150;JAN 1964;Senegal;Port of Dakar;21OFF019;SENECRUST;21OFF019;6VUZ;None Or Unclassed;;;;;49;0.000;28.430;3.710;2.700;0;  /  0;0
7636004;Tug;265;JAN 1978;St Kitts & Nevis;Basseterre;15OWT004;Tortola Barge Services Ltd;15OWT004;V4DD3;None Or Unclassed;;Carrington Slipways Pty Ltd;Newcastle, NSW , Australia;Steel;47;;30.000;4.700;4.030;0;4 stroke  /  1;0
8917895;RORO / General Cargo;9528;JAN 1991;Palau;Malakal Harbor;21IYQ002;Atlantis Company For Maritime Transport;21IYQ002;T8A3629;IS;A1+A2+A3;Langsten Slip & Båtbyggeri;Norway;Steel;2858;7301.000;129.100;13.250;6.710;0;4 stroke  /  1;1
7332050;Supply Boat/Vessel;685;JAN 1973;Guyana;Georgetown;19IYI311;COASTAL OFFSHORE MARINE INC;19IYI311;8R-UE;ABS;A1+A2;;MOSS POINT MS;Steel;205;300.000;50.590;4.260;;0;2 stroke  /  1;0
9087128;Oil Tanker;2441;JAN 1995;St Kitts & Nevis;Basseterre;23IOH014;SINAR CEMERLANG MARINE SDN BHD;23IOH014;V4JZ5;RINA;A1;SOUTHERN OCEAN SHIPBUILDING CO PTE LTD;SINGAPORE;Steel;1432;4606.000;84.280;7.300;6.000;0;  /  1;0
9236975;Chemical/Oil Products Tanker;22184;JAN 2002;Panama;Panama;01ITN003;Sea Trade Marine S.A;01ITN003;HPOW;LR;A1+A2+A3;;;;9438;;163.680;17.300;;0;  /  0;0
9467380;Offshore Support Vessel;1448;NOV 2007;Panama;Panama;22IYI001;Awat Hama Ali Cargo Services FZE;22IYI001;HOA7946;BV;A1+A2+A3;;;;434;1400.000;57.500;5.500;4.750;0;  /  0;2
9461972;Bulk Carrier;23148;APR 2013;Palau;Malakal Harbor;23IBA013;NJ TRUST MARINE LTD.;23IBA013;T8A4330;LR;A1+A2+A3;;;;11475;34306.000;179.800;14.800;10.200;0;  /  0;0
9102502;Container Ship;16800;JAN 1996;St Kitts & Nevis;Basseterre;12CCC062;MARSA GLORY INC.;12CCC062;V4AR3;IRS;A1+A2+A3;Szczecinska Nowa Sp Z Oo, Stocznia ;Poland;Steel;8672;22982.000;172.360;13.500;9.880;0;4 stroke  /  1;0
9217022;Container Ship;25369;JAN 2000;St Kitts & Nevis;Basseterre;19ICC012;MARSA NEPTUNE INC.;19ICC012;V4UW3;DNV GL;;;;;0;;207.300;16.400;;0;  /  0;0
9301445;Container Ship;26836;FEB 2005;Panama;Panama;23IDK006;MARSA PRIDE INC.;23IDK006;3E4740;RINA;;;;;12743;34263.000;210.100;16.700;11.500;0;  /  0;0
9204116;Container Ship;12004;JAN 1999;St Kitts & Nevis;Charlestown;12ICC058;Marsa Victory Inc.;12ICC058;V4BL3;IRS;;;;Steel;6750;;;13.200;9.700;0;  /  0;0
7600902;Dive Support;803;JAN 1977;Nigeria;;15NYS008;;15NYS008;5NUU7;IS;;MANGONE SHIP BUILDING CO. HOUSTON TEXAS;HOUSTON, TEXAS, USA;Steel;240;803.000;56.480;9.880;3.900;0;  /  0;0
9158771;General Cargo Ship;3829;MAR 1997;St Kitts & Nevis;Basseterre;22SDG007;BEIJING ASL INTERNATIONAL LOGISTICS CO.,LTD;22SDG007;V4UR4;IS;A1+A2+A3;CHENGXI SHIPYARD CO., LTD.;CHINA;Steel;1457;5408.000;93.000;7.800;5.810;0;2 stroke  /  1;1
NA;Fishing Vessel;385;MAR 2018;Senegal;;19OFA210;AL MAKARU AL ASMA;19OFA210;;None Or Unclassed;A1+A2;;;;0;;;;;0;  /  0;0
NA;Fishing Vessel;385;JAN 1900;Senegal;;19OFA211;AL MAKARU AL ASMA;19OFA211;;None Or Unclassed;A1+A2;;;;0;;;;;0;  /  0;1
NA;Landing Craft;189;JAN 1989;Oman;Sultan Qaboos;23UDT001;United Cooperation Trading C.O;23UDT001;;None Or Unclassed;A1+A2;;HOLLAND;Steel;60;;31.080;2.000;1.360;0;4 stroke  /  2;2
NA;Landing Craft;165;JAN 1975;Oman;Sultan Qaboos;22NDT001;Masirah Trading Co;22NDT001;A4DOS;IS;OMAN TERRITORIA;--;OMAN;Steel;49;;34.000;1.450;0.850;0;4 stroke  /  2;2
9121194;Oil Tanker;28433;JAN 1996;Panama;Panama;12ITY033;;12ITY033;3EHN9;NK;;Onomichi Dockyard Co Ltd;Hiroshima , Japan;Steel;0;47172.000;182.500;19.100;12.670;0;2 stroke  /  1;0
8827662;Fishing Vessel;79.31;MAR 1989;Senegal;Port of Dakar;21OFF014;CONDAK;21OFF014;;None Or Unclassed;;;;Composite;0;0.000;24.000;2.750;0.000;0;  /  0;0
NA;Fishing Vessel;79.31;MAR 1989;Senegal;Port of Dakar;22OFF002;CONDAK;22OFF002;;None Or Unclassed;;;;Composite;0;;2.000;;;0;  /  0;0
7326893;Livestock Carrier;30435;JAN 1973;Panama;Panama;13NOM114;Almawashi Compania Naviera SA;13NOM114;3EDN7;IS;A1+A2+A3;Hitachi Zosen;MAIZURU, JAPAN;Steel;12237;46265.600;195.310;17.600;12.530;0;2 stroke  /  1;1
NA;Fishing Vessel;69;JAN 2017;Senegal;Port of Dakar;22UFF010;PELIKANO;22UFF010;;Others;;;;Aluminium Alloy;0;;27.150;2.100;;0;  /  0;0
7116793;General Cargo Ship;4255;APR 1972;St Kitts & Nevis;Basseterre;23UDG012;Maymona Shipping Co SA;23UDG012;V4LB5;DBS;A1+A2;Van De Giessen - De Noord Netherlands Estaleiros / Navaisde Viana Do Castelo;The Netherlands / Portugal;Steel;2227;6341.000;101.480;9.230;7.590;0;4 stroke  /  1;1
NA;Fishing Vessel;280;JAN 2013;Senegal;;23OFF010;SORECOM;23OFF010;;None Or Unclassed;A1;;;Steel;0;;40.090;3.900;;0;  /  0;0
NA;Fishing Vessel;290;JAN 2012;Senegal;Port of Dakar;23OFF011;SORECOM;23OFF011;;None Or Unclassed;A1;;;Steel;0;;40.230;;;0;  /  0;0
NA;Fishing Vessel;280;JAN 2013;Senegal;Port of Dakar;23OFF005;SORECOM;23OFF005;;Others;A1;;;Steel;0;;40.390;3.900;;0;  /  0;0
8807351;Livestock Carrier;2998;JAN 1990;Palau;Malakal Harbor;21UDG006;MED ROSE MARINE LTD;21UDG006;T8A3673;DBS;A1+A2;Hudong Heavy Machinery Co. Ltd;China;Steel;2167;3392.360;85.210;7.600;;0;  /  0;0
9224661;Bulk Carrier;27986;JAN 2001;Panama;Panama;23IBA002;NVL Mercurius LL SA;23IBA002;3EEW5;NK;A1+A2+A3;;;;17077;50296.000;189.800;16.900;11.930;0;  /  0;1
9299472;General Cargo Ship;18825;JAN 2005;Palau;Malakal Harbor;20IGG332;MERCURY MARITIME CO LTD;20IGG332;T8A3510;RINA;A1+A2+A3;Guangzhou Wenchong Shipyard Co;China;Steel;8565;27583.800;;14.100;;0;2 stroke  /  2;0
9517252;Container Ship;5275;JUN 2008;Panama;Panama;23IDK003;EASTERN MERIDIAN PTE LTD;23IDK003;3E4943;CCS;A1+A2+A3;HUANGHAI SHIPBUILDING CO., LTD.;CHINA;Steel;2309;7991.000;117.000;8.500;6.400;0;  /  0;2
9330020;Oil Tanker;7687;JAN 1900;St Kitts & Nevis;Basseterre;21IOH021;CHASTE SHIPPING LINES INC;21IOH021;V4NP4;ABS;A1+A2+A3;STX OFFSHORE AND SHIPBUILDING CO.,LTD;South Korea;Steel;3266;;;11.700;;0;  /  0;0
9505247;Anchor handling tug supply;1970;FEB 2010;St Kitts & Nevis;Basseterre;21IYA007;SHINY NIGHTS TECHNOLOGY DEVELOPMENT CO LIMITED;21IYA007;V4FW4;PRS;A1+A2+A3;;SINGAPORE;;591;;;;;0;  /  0;0
NA;Deck Loading Barge, Non-Propelled;4953;JAN 2007;Palau;Malakal Harbor;22UND002;Safe Seas Ship Management FZE;22UND002;T8A3951;Others;;NANTING TONGSHENG SHIP MANUFACTURING CO;CHINA;;1485;;96.000;6.100;;0;  /  0;0
7600017;Ro-Ro Cargo Ship;3324;JAN 1978;St Kitts & Nevis;Basseterre;20SRR082;SULTAN INTERNATIONAL CO.;20SRR082;V4LY4;PhRS;A1+A2;LA ROCHALLA-POLLICA;FRANCE;Steel;997;;82.190;9.400;4.460;0;4 stroke  /  1;1
8806321;Oil Tanker/Asphalt Carrier;992;FEB 1988;St Kitts & Nevis;Charlestown;05NTK006;Alpha Shipping & Trading Inc.;05NTK006;V4NO;IS;A1+A2;Shin Kurushima Dockyard Co. Ltd.;Tokyo,Japan;Steel;325;1266.000;63.280;4.500;4.050;0;4 stroke  /  2;1
9516636;Tug;296;SEP 2008;Palau;Malakal Harbor;23IYY003;The Middle East Marine LLC;23IYY003;T8A3946;DNV GL;A1+A2;;;;88;240.000;32.000;4.600;3.800;0;  /  0;0
8113619;General Cargo Ship;1576;APR 1982;St Kitts & Nevis;Basseterre;19NDG001;MIRO SHIPPING INC;19NDG001;V4ZU3;IS;A1+A2+A3;SCHEEPSWERF-EN REPARATIEBEDRIJF,HARLINGEN;HOLLAND;Steel;853;2520.000;75.480;5.400;;0;4 stroke  /  1;1
9101584;General Cargo Ship;6155;NOV 1994;Panama;Panama;23IDG006;GRAND ASIAN SHIPPING LINES, INC.;23IDG006;3E3576;NK;A1+A2+A3;;;Steel;2732;7758.000;100.640;13.000;7.740;0;  /  0;0
8833893;Bulk Carrier;31638;SEP 1990;Palau;Malakal Harbor;23SBA005;BLUE WHALE MARITIME PVT LTD;23SBA005;T8A4465;None Or Unclassed;A1+A2+A3;NIKOLAYEV SHIPYARD;RUSSIA;Steel;17717;52580.000;216.000;16.950;12.300;0;Other  /  1;1
8805597;General Cargo Ship;4931;JAN 1989;St Kitts & Nevis;Basseterre;19CGG408;Blue Bay Investments Ltd;19CGG408;V4ZX3;DNV GL;A1+A2+A3;J.J Sietas KG Schiffswerft GmbH & Co.;Germany;Steel;1479;5415.000;107.450;9.900;6.680;0;4 stroke  /  1;1
8622177;General Cargo Ship;259;JAN 1983;Palau;;10NGG042;MidSea Shipping Line Co. Pvt Ltd.;10NGG042;T8YR;EM;;;;;0;;;;;0;  /  0;0
9227948;Crude Oil Tanker;157814;MAY 2001;Djibouti;Djibouti;20ITO331;Sisalana Technik Ltd;20ITO331;J2JU;LR;A1+A2+A3;Daewoo Heavy Industry;Korea;;108701;299450.000;332.000;31.000;;0;  /  0;0
9291925;Bulk Carrier;1997;MAR 2003;Palau;Malakal Harbor;22NBA003;NEW ATLANTIS SEAWAYS LTD;22NBA003;T8A4067;IS;A1+A2+A3;QINGDAO LINGSHAN SHIP ENGINEERING CO. LTD;Qingdao,China;Steel;1088;2863.000;79.990;7.000;5.200;0;4 stroke  /  1;1
9249312;Crude Oil Tanker;79525;AUG 2001;Panama;Panama;22IOA001;ARVE SHIPPING Inc.;22IOA001;T8A4042;IS;A1+A2+A3;SASEBO HEAVY INDUSTRIES CO., LTD.;Japan;Steel;47769;149995.000;272.000;24.000;17.080;0;2 stroke  /  1;1
9274472;Crew Boat;325;JAN 2002;Nigeria;Lagos ;19IOE149;GREDOR NIGERIA LIMITED;19IOE149;5OIF;ABS;A1+A2+A3;Breaux Bay Craft Inc. (Loreauville, LA , United States Of America);USA;Aluminium Alloy;97;;43.520;3.970;2.490;0;4 stroke  /  6;5
9175913;Bulk Carrier;14446;AUG 1998;Palau;Malakal Harbor;23IBA001;MISS LAILA MARINE LTD.;23IBA001;T8A4106;NK;A1+A2+A3;;;;8548;23612.000;150.520;13.200;9.570;0;  /  0;0
5298963;General Cargo Ship;310;JAN 1950;Palau;Malakal Harbor;10NGG023;JJ CARGO SHIPPING LINES INC.;10NGG023;T8A2177;IS;A1+A2;Muetzelfeldtwerft;Germany;Steel;151;457.000;42.700;3.310;3.080;0;4 stroke  /  1;1
8902929;Bulk Carrier;9815;OCT 1992;Palau;Malakal Harbor;21IBA009;NOBILITY MARINE LTD;21IBA009;T8A3710;NK;A1+A2+A3;Stocznia Szczecinska S.A.;Poland;;4798;13790.000;143.700;11.350;8.420;0;  /  0;0
7909853;Supply Boat/Vessel;4232;FEB 1980;St Kitts & Nevis;Basseterre;13NYI065;El Shaddai Inc.;13NYI065;V4RD3;IS;A1+A2+A3;TROSVIK VERKSTED AS;NORWAY;Steel;1270;1602.000;92.300;8.590;6.400;0;4 stroke  /  1;1
8027626;Tug;806;JAN 1982;St Kitts & Nevis;Basseterre;11OWT034;;11OWT034;V4IY3;Others;;Hitzler Schiffswerft U. Masch., J.G. ;Germany;Steel;245;1000.000;53.320;4.630;4.070;0;4 stroke  /  2;0
7333195;Special Purpose Ship;828;FEB 1965;St Kitts & Nevis;Basseterre;20IPS001;NO COMPANY REGISTERED;20IPS001;V4FT4;ABS;A1+A2+A3;Christy Corporation;United States Of America, Sturgeon Bay, WI;Steel;248;215.000;52.130;5.330;3.670;0;4 stroke  /  2;2
7393169;Special Purpose Ship;964;OCT 1974;St Kitts & Nevis;Basseterre;20IPS002;MNG MARITIME LTD;20IPS002;V4ET4;DNV GL;A1+A2+A3;Martin Jansen GmbH & Co. KG ;GERMANY;Steel;289;1010.000;57.910;6.350;3.750;0;4 stroke  /  1;1
NA;Crew Boat;34;JAN 1972;St Kitts & Nevis;Basseterre;11OOE035;Mng S200 Limited;11OOE035;V4PJ3;None Or Unclassed;A1;;SWEDEN;;33.71;;21.400;2.300;;0;  /  0;0
8931190;Offshore Patrol Vessel;1000;MAY 1996;St Kitts & Nevis;Basseterre;18IJP001;Excel International Fzc;18IJP001;V4SN3;IS;A1+A2;AST Y MAESTRANZAS DE LA ARMADA (ASMAR);CHILE;Steel;350;;75.000;6.800;3.900;0;4 stroke  /  4;2
NA;Barge/Pontoon;145;FEB 2011;Colombia;Cartagena;20ONO119;SERVICIOS PORTUARIOS SAS (SERPORT SAS);20ONO119;;None Or Unclassed;;;;Steel;120;;22.000;1.620;1.470;0;  /  0;0
9761865;Tug;145;JAN 2015;Palau;Malakal Harbor;23IYY005;Albayrak Denizcilik Ve Gemi Isletmeciligi AS;23IYY005;T8A3771;ABS;A1+A2+A3;SANMAR DENIZCILIK MAK.VE TIC.A.S. SHIPYARD;Turkey;Steel;43;39.000;18.700;3.500;2.400;0;4 stroke  /  2;2
9765495;Tug;145;MAR 2015;Palau;Malakal Harbor;23IYY006;Albayrak Denizcilik Ve Gemi Isletmeciligi AS;23IYY006;T8A3770;ABS;A1+A2+A3;SANMAR DENIZCILIK MAK.VE TIC.A.S. SHIPYARD;Turkey;Steel;43;39.000;18.700;3.500;2.400;0;4 stroke  /  2;2
NA;Fishing Vessel;200;JAN 2000;Senegal;Port of Dakar;20OFA151;HISPASEN;20OFA151;;None Or Unclassed;A1;;Portugal;Steel;0;;26.000;3.300;;0;  /  0;0
9561930;Oil Tanker;28737;APR 2012;Panama;Panama;21IOH017;LEVANTE SHIPPING VENTURES S.A;21IOH017;3E4702;NK;A1+A2+A3;;;;12012;45945.000;181.540;18.700;12.170;0;  /  0;0
9431410;Fishing Vessel;380;JAN 2005;Namibia;;19OFA008;Seaflower Whitefish Corporation Ltd;19OFA008;;None Or Unclassed;A1+A2+A3;ASTILLEROS ARMON SA;SPAIN;Steel;114;228.000;36.620;6.100;;0;2 stroke  /  1;1
8311572;Tug/Supply Vessel;719;JAN 1984;Nigeria;Lagos ;14CYT020;LENIMAR OCEAN TRAWLERS LTD.;14CYT020;5NIZ2;RMS;A1+A2;Quality Shipyards Incorporated,Houma,Louisiana;U.S.A;Steel;216;;53.340;4.270;3.650;0;4 stroke  /  2;2
NA;Barge Carrier;346;JAN 1984;Palau;Malakal Harbor;18NOB058;Go Shipping & Management Inc;18NOB058;T8A2281;IS;A1;ENVC SHIPYARD;Portugal;Steel;346;;39.360;3.100;2.300;0;4 stroke  /  2;2
9152909;Container Ship;10752;MAY 1998;St Kitts & Nevis;Basseterre;22IDK003;PETRA SHIPPING SERVICES LLC;22IDK003;V4TK4;GL;A1+A2+A3;;;;5478;14086.000;162.890;11.100;8.100;0;  /  0;0
9250244;Bulk Carrier;52989;SEP 2002;Panama;Panama;19IBB214;MOVERS MARINE LTD.;19IBB214;;NK;A1+A2+A3;;;;0;;;;;0;  /  0;1
